Date,Time,Hspd(rpm),PID#,Vbec(V),*Cnt,*Skp,1RSS(dB),2RSS(dB),RQly(%),RSNR(dB),ANT,RFMD,TPWR(mW),TRSS(dB),TQly(%),TSNR(dB),Vbat(V),Curr(A),Capa(mAh),Bat%(%),Cel#,Vcel(V),Tesc(°C),Alt(m),MDL#,Rud,Ele,Thr,Ail,SB,SC,SD,SE,SF,SW1,SW2,SW3,SW4,SW5,SW6,LSW,CH1(us),CH2(us),CH3(us),CH4(us),CH5(us),CH6(us),CH7(us),CH8(us),CH9(us),CH10(us),CH11(us),CH12(us),CH13(us),CH14(us),CH15(us),CH16(us),CH17(us),CH18(us),CH19(us),CH20(us),CH21(us),CH22(us),CH23(us),CH24(us),CH25(us),CH26(us),CH27(us),CH28(us),CH29(us),CH30(us),CH31(us),CH32(us),TxBat(V)
2026-08-15,14:25:09.340,1562,1,7.93,248,1,-56,-55,100,9,1,29,10,-47,100,8,28.71,21.52,28,99,7,4.10,33,-0.35,0,-4,-33,102,3,-1,-1,-1,-1,1,1,-1,-1,-1,-1,-1,0x0000000000000000,1501,1484,1551,1498,2012,2012,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.0
2026-08-15,14:25:10.340,1844,1,7.93,250,1,-56,-54,100,9,1,29,10,-55,100,8,28.64,20.38,35,99,7,4.09,33,-0.50,0,-19,-3,287,-89,-1,-1,-1,-1,1,1,-1,-1,-1,-1,-1,0x0000000000000000,1456,1499,1643,1491,2012,2012,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.0
2026-08-15,14:25:11.340,1927,1,7.92,252,1,-59,-55,100,9,1,29,10,-67,100,8,28.53,23.53,38,99,7,4.07,34,0.01,0,-166,-8,403,19,-1,-1,-1,-1,1,1,-1,-1,-1,-1,-1,0x0000000000000000,1509,1496,1701,1417,2012,2012,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.0
2026-08-15,14:25:12.340,1919,1,7.92,254,1,-68,-75,100,9,1,29,10,-71,100,8,28.36,24.11,49,99,7,4.07,34,1.40,0,-26,4,-4,17,-1,-1,-1,-1,1,1,-1,-1,-1,-1,-1,0x0000000000000000,1508,1502,1498,1488,2012,2012,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.0
2026-08-15,14:25:13.340,1942,1,7.90,256,1,-75,-73,100,9,1,29,10,-64,100,8,28.59,19.52,55,98,7,4.08,34,1.58,0,-929,4,259,3,-1,-1,-1,-1,1,1,-1,-1,-1,-1,-1,0x0000000000000000,1501,1502,1629,1036,2012,2012,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.0
2026-08-15,14:25:14.340,1927,1,7.91,258,1,-66,-60,100,9,1,29,10,-57,100,8,28.58,20.90,62,98,7,4.07,34,2.14,0,-318,40,145,-6,-1,-1,-1,-1,1,1,-1,-1,-1,-1,-1,0x0000000000000000,1497,1520,1572,1341,2012,2012,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.0
2026-08-15,14:25:15.340,1941,1,7.91,259,1,-70,-69,100,9,1,29,10,-68,100,9,28.53,22.76,62,98,7,4.07,34,1.75,0,-9,54,724,407,-1,-1,-1,-1,1,1,-1,-1,-1,-1,-1,0x0000000000000000,1713,1529,1866,1496,2012,2012,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.0
2026-08-15,14:25:16.340,1897,1,7.85,261,1,-67,-68,100,9,1,29,10,-54,100,8,28.54,32.01,73,98,7,4.05,34,0.81,0,0,2,435,51,-1,-1,-1,-1,1,1,-1,-1,-1,-1,-1,0x0000000000000000,1525,1501,1717,1500,2012,2012,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.0
2026-08-15,14:25:17.340,1934,1,7.90,263,1,-69,-69,100,9,1,29,10,-66,100,8,28.48,21.17,82,98,7,4.06,34,1.37,0,1,-1,496,764,-1,-1,-1,-1,1,1,-1,-1,-1,-1,-1,0x0000000000000000,1882,1500,1748,1500,2012,2012,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.0
2026-08-15,14:25:18.340,1863,1,7.90,265,1,-68,-62,100,9,1,29,10,-55,100,8,27.37,71.91,92,98,7,4.01,35,3.29,0,-3,55,-339,821,-1,-1,-1,-1,1,1,-1,-1,-1,-1,-1,0x0000000000000000,1910,1527,1331,1498,2012,2012,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.0
